datetime,MAC000028,MAC000041,MAC000058,MAC000089,MAC000095,MAC000126,MAC000143,MAC000144,MAC000148,MAC000172,MAC000176,MAC000182,MAC000200,MAC000240,MAC000258,MAC000268,MAC004457,MAC004490,MAC004496,MAC004521,MAC004528,MAC004540,MAC004550,MAC004553,MAC004862,MAC004874,MAC004918,MAC004998,MAC005000,MAC005016,MAC005024,MAC005025,MAC005193,MAC005227,MAC005229,MAC005257,MAC005261,MAC005268,MAC005270,MAC005273
2012-02-11 13:45:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:46:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:47:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:48:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:49:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:50:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:51:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:52:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:53:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:54:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:55:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:56:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:57:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:58:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 13:59:00,0.238,0.266,0.224,0.176,0.628,0.106,0.242,0.272,0.62,0.46,0.16,0.43,0.342,0.11,0.462,0.132,0.212,0.078,0.084,0.212,0.778,0.898,0.668,0.236,0.122,0.272,1.15,0.096,0.276,0.436,0.356,0.244,0.13,0.148,0.066,0.928,0.258,0.188,0.24,0.202
2012-02-11 14:00:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
